sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
美濃,高雄市,96,細懸浮微粒,普通,0.9,0.34,7,14,39,33,8,8.3,0.4,0.3,355,"2025-02-07 06:00",,0.3,29,43,0,120.530542,22.883583,47
臺南,臺南市,82,細懸浮微粒,普通,0.7,0.3,28,29,40,20,9,9.8,0.9,4.1,5,"2025-02-07 06:00",,0.2,24,40,1,120.21947897,22.98928311,46
安南,臺南市,79,細懸浮微粒,普通,0.4,0.32,27,30,36,22,6,6.7,0.3,2.9,328,"2025-02-07 06:00",,0.2,23,37,1,120.2175,23.048197,45
善化,臺南市,75,細懸浮微粒,普通,1.1,0.28,26,26,40,16,8,9.6,1.2,4,3,"2025-02-07 06:00",,0.2,21,49,2,120.29740529,23.11337642,44
新營,臺南市,75,細懸浮微粒,普通,0.4,0.3,28,28,32,21,7,9.2,1.7,3.7,11,"2025-02-07 06:00",,0.2,21,36,1,120.31725,23.305633,43
嘉義,嘉義市,81,細懸浮微粒,普通,1.6,0.26,26,24,31,21,10,10.4,0.4,2.5,358,"2025-02-07 06:00",,0.3,23,38,5,120.44125148,23.46477865,42
臺西,雲林縣,43,,良好,0.8,0.25,47,46,20,4,2,2.3,0.3,9.9,22,"2025-02-07 06:00",,0.2,7,22,1,120.19933333,23.702175,41
朴子,嘉義縣,57,細懸浮微粒,普通,0.7,0.25,39,37,31,16,,,,2.3,358,"2025-02-07 06:00",,0.2,15,28,1,120.2478,23.46538,40
新港,嘉義縣,58,細懸浮微粒,普通,1,0.32,36,33,27,17,5,5.9,0.8,4.1,4,"2025-02-07 06:00",,0.2,15,30,2,120.345531,23.554839,39
崙背,雲林縣,60,細懸浮微粒,普通,0.7,0.34,38,36,34,21,4,5.5,1.1,2.6,347,"2025-02-07 06:00",,0.2,16,32,1,120.348742,23.757547,38
斗六,雲林縣,79,細懸浮微粒,普通,0.7,0.24,29,23,31,18,7,7.8,1.2,2.6,356,"2025-02-07 06:00",,0.2,23,40,2,120.544994,23.711853,37
南投,南投縣,76,細懸浮微粒,普通,1.3,0.26,22,13,23,21,10,11,0.9,1.6,356,"2025-02-07 06:00",,0.3,22,31,1,120.685306,23.913,36
二林,彰化縣,50,,良好,1.5,0.41,41,40,31,9,5,5.4,0.1,5.1,20,"2025-02-07 06:00",,0.3,11,30,1,120.409653,23.925175,35
線西,彰化縣,40,,良好,2.4,0.55,42,41,20,8,7,7.8,0.4,8.9,29,"2025-02-07 06:00",,0.4,10,24,1,120.469061,24.131672,34
彰化,彰化縣,47,,良好,0.7,0.23,41,33,22,9,6,5.4,0,2.4,18,"2025-02-07 06:00",,0.2,12,22,2,120.541519,24.066,33
西屯,臺中市,56,細懸浮微粒,普通,1.1,0.23,,22,14,11,6,7.3,1.5,4.8,354,"2025-02-07 06:00",,0.3,14,21,1,120.616917,24.162197,32
忠明,臺中市,62,細懸浮微粒,普通,0.8,0.27,28,19,15,12,6,6.6,1,1.5,350,"2025-02-07 06:00",,0.3,16,22,1,120.641092,24.151958,31
大里,臺中市,73,細懸浮微粒,普通,1.3,0.28,22,15,8,17,6,7.3,1.3,3,7,"2025-02-07 06:00",,0.3,20,21,2,120.67844444,24.09961111,30
沙鹿,臺中市,37,,良好,1,0.26,43,39,15,4,5,5.2,0.6,4.6,18,"2025-02-07 06:00",,0.2,9,21,1,120.568794,24.225628,29
豐原,臺中市,65,細懸浮微粒,普通,1,0.28,22,23,13,14,5,4.7,0,1.5,14,"2025-02-07 06:00",,0.3,18,18,1,120.74252414,24.25699731,28
三義,苗栗縣,52,細懸浮微粒,普通,0.4,0.25,30,19,9,8,4,5,1,6.6,11,"2025-02-07 06:00",,0.3,13,17,1,120.75956754,24.38248443,27
苗栗,苗栗縣,44,,良好,1.5,0.21,42,31,1,6,4,4.7,0.6,3.7,11,"2025-02-07 06:00",,0.2,11,10,1,120.82011468,24.56499183,26
頭份,苗栗縣,32,,良好,1.1,0.26,45,34,6,4,4,4.7,1.1,2.2,11,"2025-02-07 06:00",,0.2,8,14,1,120.89869286,24.69690679,25
新竹,新竹市,36,,良好,1,0.26,43,37,0,5,4,4.5,0.6,3.3,41,"2025-02-07 06:00",,0.2,9,7,1,120.97236752,24.8056356,24
竹東,新竹縣,43,,良好,0.4,0.24,40,22,2,7,5,5.1,0.3,2.6,39,"2025-02-07 06:00",,0.3,11,11,0,121.08895493,24.74091408,23
湖口,新竹縣,39,,良好,0.5,0.26,45,42,5,3,3,3.2,0.4,5,32,"2025-02-07 06:00",,0.2,5,9,0,121.03886894,24.90009696,22
龍潭,桃園市,34,,良好,1.1,0.26,39,35,3,7,6,5.8,0.2,3.8,54,"2025-02-07 06:00",,0.2,8,8,1,121.21645772,24.86400048,21
平鎮,桃園市,33,,良好,0.6,0.29,42,37,4,4,7,7.6,0.3,3.1,50,"2025-02-07 06:00",,0.2,6,7,0,121.203986,24.952786,20
觀音,桃園市,42,,良好,0.7,0.22,44,45,6,6,2,2.9,0.5,6.5,60,"2025-02-07 06:00",,0.2,5,8,0,121.08283092,25.03556747,19
大園,桃園市,43,,良好,0.8,0.25,47,46,2,4,3,3.8,0.8,5.9,33,"2025-02-07 06:00",,0.2,3,9,1,121.20251473,25.06100357,18
桃園,桃園市,38,,良好,1.1,0.28,44,41,2,3,4,4.7,0.4,2.2,29,"2025-02-07 06:00",,0.2,3,3,1,121.30500531,24.9947107,17
大同,臺北市,28,,良好,0.6,0.38,36,31,5,3,11,13.6,2.2,-,-,"2025-02-07 06:00",,0.4,6,7,1,121.51342074,25.06331455,16
松山,臺北市,34,,良好,0.7,0.23,44,38,0,1,4,4.4,0.5,1.6,17,"2025-02-07 06:00",,0.2,5,4,1,121.578611,25.05,15
古亭,臺北市,35,,良好,1.2,0.25,45,39,1,2,3,3.9,0.5,1.2,56,"2025-02-07 06:00",,0.2,5,7,1,121.529556,25.020608,14
萬華,臺北市,34,,良好,0.3,0.27,44,37,1,1,4,5,0.6,1.6,107,"2025-02-07 06:00",,0.2,3,7,1,121.507972,25.046503,13
中山,臺北市,31,,良好,0.4,0.3,40,35,4,5,7,7.8,0.7,1.7,79,"2025-02-07 06:00",,0.2,6,9,1,121.526528,25.062361,12
士林,臺北市,40,,良好,0.9,0.26,47,44,2,0,2,2.6,0,1.2,194,"2025-02-07 06:00",,0.2,3,6,1,121.51666356,25.10334003,11
淡水,新北市,38,,良好,0.2,0.26,46,42,11,4,2,2.4,0.5,4.6,20,"2025-02-07 06:00",,0.2,5,8,1,121.449239,25.1645,10
林口,新北市,41,,良好,0.6,0.25,45,44,2,2,3,4.2,0.9,3.7,37,"2025-02-07 06:00",,0.2,4,4,1,121.36548982,25.07798949,9
菜寮,新北市,34,,良好,0.6,0.28,39,37,5,6,7,7.2,0.4,0.5,275,"2025-02-07 06:00",,0.2,6,6,0,121.481028,25.06895,8
新莊,新北市,34,,良好,0.3,0.25,39,37,0,5,5,6,0.7,0.3,305,"2025-02-07 06:00",,0.2,5,3,0,121.4325,25.037972,7
板橋,新北市,36,,良好,0.8,0.28,46,40,0,3,4,4.7,0.8,3.1,110,"2025-02-07 06:00",,0.2,4,5,1,121.458667,25.012972,6
土城,新北市,36,,良好,0.8,0.27,45,39,5,1,4,4.2,0.5,1,238,"2025-02-07 06:00",,0.2,4,8,0,121.451861,24.982528,5
新店,新北市,35,,良好,0.5,0.24,45,39,6,2,4,4.1,0,1.9,41,"2025-02-07 06:00",,0.2,4,8,0,121.537778,24.977222,4
萬里,新北市,46,,良好,0.6,0.25,51,51,29,2,2,2.4,0.4,7,36,"2025-02-07 06:00",,0.2,4,27,1,121.689881,25.179667,3
汐止,新北市,31,,良好,0.7,0.23,46,34,4,3,4,4.9,0.5,2.9,33,"2025-02-07 06:00",,0.2,7,7,0,121.64081,25.06624,2
基隆,基隆市,31,,良好,0.8,0.27,50,33,3,0,2,2.6,0.4,1.7,98,"2025-02-07 06:00",,0.3,4,6,1,121.760056,25.129167,1
屏東(枋山),屏東縣,37,,良好,0.4,0.25,31,40,30,18,8,8.4,0.5,0.7,76,"2025-02-07 05:00",,0.1,7,14,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,31,,良好,0.4,0.19,26,33,6,3,8,12.7,4.7,1.5,318,"2025-02-07 05:00",,0.1,4,8,0,121.61575076,23.97709367,312
新北（樹林）,新北市,20,,良好,0.2,0.25,27,23,4,3,7,7,0.3,0.1,178,"2025-02-07 05:00",,0.2,5,9,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,90,細懸浮微粒,普通,0.1,0.3,11,16,19,20,4,4.5,0.5,0,33,"2025-02-07 05:00",,0.3,27,32,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,127,細懸浮微粒,對敏感族群不健康,3.3,0.48,21,23,65,42,16,16.5,0.7,1.3,340,"2025-02-07 05:00",,0.5,41,62,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,73,細懸浮微粒,普通,0.5,0.32,23,27,35,16,10,10.3,0.6,2.8,3,"2025-02-07 05:00",,0.2,20,39,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,106,細懸浮微粒,對敏感族群不健康,1.4,0.34,16,21,56,34,16,17,1.3,0.6,355,"2025-02-07 05:00",,0.3,32,52,2,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,36,,良好,0.7,0.22,43,40,9,2,4,5.4,0.9,2.3,50,"2025-02-07 05:00",,0.2,4,11,1,121.82463916,24.85366672,201
員林,彰化縣,71,細懸浮微粒,普通,1.1,0.25,29,26,23,18,7,8.7,1.5,2,43,"2025-02-07 05:00",,0.3,20,29,1,120.5631893,23.9615945,139
大城,彰化縣,45,,良好,1,0.23,50,50,23,8,3,3.5,0.7,8.2,41,"2025-02-07 05:00",,0.1,9,18,0,120.26964167,23.85493056,85
富貴角,新北市,49,,良好,0.3,0.22,53,53,20,3,1,1.4,0,11.7,42,"2025-02-07 05:00",,0.2,4,16,0,121.53656894,25.29681695,84
麥寮,雲林縣,42,,良好,1.1,0.25,46,46,19,6,5,5,0.1,6.9,359,"2025-02-07 05:00",,0.2,9,19,2,120.251825,23.753506,83
關山,臺東縣,27,,良好,0.9,0.19,20,24,12,6,1,2,0.6,0.9,14,"2025-02-07 05:00",,0.1,6,16,0,121.161933,23.045083,80
馬公,澎湖縣,44,,良好,0.8,0.24,50,49,12,6,2,2.7,0.7,6.1,30,"2025-02-07 05:00",,0.2,8,15,1,119.566158,23.569031,78
金門,金門縣,58,細懸浮微粒,普通,1.1,0.29,34,37,6,7,5,5.6,0.9,2,25,"2025-02-07 05:00",,0.2,15,18,1,118.312256,24.432133,77
馬祖,連江縣,71,細懸浮微粒,普通,0.9,0.29,40,44,35,23,3,3.4,0.6,2.5,328,"2025-02-07 05:00",,0.3,20,27,0,119.952724,26.153736,75
埔里,南投縣,123,細懸浮微粒,對敏感族群不健康,1.2,0.46,7,13,42,34,7,7.8,1,0.3,110,"2025-02-07 05:00",,0.5,40,52,1,120.967903,23.968842,72
復興,高雄市,111,細懸浮微粒,對敏感族群不健康,1,0.29,23,21,49,37,10,10.6,0.9,1.1,300,"2025-02-07 05:00",,0.4,34,48,2,120.312017,22.608711,71
永和,新北市,33,,良好,0.7,0.27,44,37,4,3,4,4.3,0.5,1.6,63,"2025-02-07 05:00",,0.3,6,8,1,121.516306,25.017,70
竹山,南投縣,99,細懸浮微粒,普通,1.1,0.38,9,12,42,29,16,16.1,0.4,0.6,56,"2025-02-07 05:00",,0.4,30,42,1,120.677306,23.756389,69
中壢,桃園市,31,,良好,1.1,0.26,42,32,4,4,6,7.4,1.1,1.7,23,"2025-02-07 05:00",,0.4,8,10,1,121.221667,24.953278,68
三重,新北市,45,,良好,0.5,0.44,27,19,6,4,19,32.1,12.8,-,-,"2025-02-07 05:00",,0.5,7,9,1,121.493806,25.072611,67
冬山,宜蘭縣,22,,良好,0.5,0.18,27,24,3,3,1,1.7,0.3,0.9,332,"2025-02-07 05:00",,0.1,5,5,0,121.792928,24.632203,66
宜蘭,宜蘭縣,27,,良好,0.9,0.18,28,30,2,3,1,1.8,0.4,0.2,227,"2025-02-07 05:00",,0.2,4,4,0,121.746394,24.747917,65
陽明,臺北市,46,,良好,0.6,0.27,49,50,0,2,1,1.6,0.3,2.5,110,"2025-02-07 05:00",,0.2,0,3,0,121.529583,25.182722,64
花蓮,花蓮縣,19,,良好,0.4,0.25,12,21,10,5,8,9.4,1.2,1,239,"2025-02-07 05:00",,0.3,4,9,0,121.599769,23.971306,63
臺東,臺東縣,29,,良好,0.5,0.18,28,32,12,7,1,2.1,0.8,2.2,321,"2025-02-07 05:00",,0.2,5,9,0,121.15045,22.755358,62
恆春,屏東縣,41,,良好,0.8,0.18,44,44,6,4,1,2.2,0.8,6.9,19,"2025-02-07 05:00",,0.1,4,7,0,120.788928,21.958069,61
潮州,屏東縣,130,細懸浮微粒,對敏感族群不健康,0.6,0.37,12,20,62,43,8,8.5,1,0.3,88,"2025-02-07 05:00",,0.3,42,60,1,120.561175,22.523108,60
屏東,屏東縣,115,細懸浮微粒,對敏感族群不健康,1,0.39,21,26,58,41,8,9,0.9,0.3,42,"2025-02-07 05:00",,0.3,36,54,1,120.488033,22.673081,59
小港,高雄市,116,細懸浮微粒,對敏感族群不健康,1.6,0.32,16,18,59,40,17,17.3,0.2,1.5,335,"2025-02-07 05:00",,0.4,36,55,2,120.337736,22.565833,58
前鎮,高雄市,115,細懸浮微粒,對敏感族群不健康,0.7,0.35,22,22,62,38,10,10.8,1,3,27,"2025-02-07 05:00",,0.4,36,58,1,120.30833356,22.6044507,57
前金,高雄市,108,細懸浮微粒,對敏感族群不健康,0.8,0.35,21,21,62,42,11,11.8,0.7,3.1,354,"2025-02-07 05:00",,0.3,33,56,1,120.28676111,22.63390278,56
左營,高雄市,106,細懸浮微粒,對敏感族群不健康,0.8,0.34,22,25,58,39,10,10.7,0.3,2,11,"2025-02-07 05:00",,0.3,33,54,1,120.292917,22.674861,54
楠梓,高雄市,102,細懸浮微粒,對敏感族群不健康,1,0.32,19,22,56,32,11,11.8,0.7,1.7,17,"2025-02-07 05:00",,0.3,31,53,1,120.328289,22.733667,53
林園,高雄市,132,細懸浮微粒,對敏感族群不健康,1.5,0.4,12,20,66,46,16,16.9,0.5,1.6,20,"2025-02-07 05:00",,0.4,43,64,3,120.41175,22.4795,52
大寮,高雄市,118,細懸浮微粒,對敏感族群不健康,1,0.32,16,22,54,37,9,9.1,0.2,1.4,333,"2025-02-07 05:00",,0.3,37,55,2,120.425311,22.56413611,51
鳳山,高雄市,119,細懸浮微粒,對敏感族群不健康,1.2,0.36,15,18,55,42,13,13.6,0.8,0.8,175,"2025-02-07 05:00",,0.4,38,55,1,120.357422,22.628126,50
仁武,高雄市,111,細懸浮微粒,對敏感族群不健康,0.9,0.33,18,20,56,39,13,13.6,0.9,1.1,338,"2025-02-07 05:00",,0.3,35,54,2,120.332631,22.689056,49
橋頭,高雄市,109,細懸浮微粒,對敏感族群不健康,0.9,0.35,20,24,51,38,11,11.3,0.3,2.5,19,"2025-02-07 05:00",,0.3,34,50,1,120.305689,22.757506,48
美濃,高雄市,95,細懸浮微粒,普通,1,0.34,11,16,42,27,7,7.8,0.4,0.6,105,"2025-02-07 05:00",,0.3,29,43,0,120.530542,22.883583,47
臺南,臺南市,83,細懸浮微粒,普通,0.7,0.32,23,30,39,28,11,11.8,1,2.5,12,"2025-02-07 05:00",,0.2,24,39,2,120.21947897,22.98928311,46
安南,臺南市,79,細懸浮微粒,普通,0.6,0.32,25,31,36,20,8,7.9,0.1,2.4,318,"2025-02-07 05:00",,0.2,23,36,1,120.2175,23.048197,45
善化,臺南市,77,細懸浮微粒,普通,1.2,0.42,19,27,48,22,12,13,1.1,2.9,7,"2025-02-07 05:00",,0.2,22,50,2,120.29740529,23.11337642,44
新營,臺南市,76,細懸浮微粒,普通,0.3,0.31,24,28,34,21,9,10.9,1.7,2.6,11,"2025-02-07 05:00",,0.2,22,37,1,120.31725,23.305633,43
嘉義,嘉義市,85,細懸浮微粒,普通,1.5,0.3,16,23,34,22,12,13.3,0.7,2,6,"2025-02-07 05:00",,0.3,25,40,5,120.44125148,23.46477865,42
臺西,雲林縣,43,,良好,0.9,0.25,47,46,20,6,2,2.4,0.1,7.6,22,"2025-02-07 05:00",,0.2,8,22,1,120.19933333,23.702175,41
朴子,嘉義縣,57,細懸浮微粒,普通,0.8,0.28,33,37,31,15,5,4.5,0,2.8,357,"2025-02-07 05:00",,0.2,15,28,1,120.2478,23.46538,40
新港,嘉義縣,59,細懸浮微粒,普通,1.2,0.28,32,32,24,14,6,6.4,0.8,3.9,3,"2025-02-07 05:00",,0.2,16,32,2,120.345531,23.554839,39
崙背,雲林縣,58,細懸浮微粒,普通,0.7,0.3,38,36,34,12,4,5.5,1.1,2.1,6,"2025-02-07 05:00",,0.2,15,32,1,120.348742,23.757547,38
斗六,雲林縣,81,細懸浮微粒,普通,0.9,0.3,16,23,40,26,10,11.2,1.3,2,350,"2025-02-07 05:00",,0.2,24,42,2,120.544994,23.711853,37
南投,南投縣,78,細懸浮微粒,普通,1.3,0.34,5,12,34,23,13,14.3,1.3,1.5,343,"2025-02-07 05:00",,0.3,22,34,1,120.685306,23.913,36
二林,彰化縣,51,懸浮微粒,普通,1.3,0.35,41,39,32,11,5,4.6,0,5.4,25,"2025-02-07 05:00",,0.2,11,31,1,120.409653,23.925175,35
線西,彰化縣,42,,良好,3.4,0.65,40,41,32,12,10,10.3,0.6,7.6,29,"2025-02-07 05:00",,0.4,10,25,1,120.469061,24.131672,34
彰化,彰化縣,50,,良好,0.8,0.22,38,32,21,9,5,5.5,0.4,2.4,21,"2025-02-07 05:00",,0.2,12,22,2,120.541519,24.066,33
西屯,臺中市,58,細懸浮微粒,普通,1.2,0.24,30,22,14,11,10,11.7,1.4,4,11,"2025-02-07 05:00",,0.3,15,24,1,120.616917,24.162197,32
忠明,臺中市,66,細懸浮微粒,普通,1,0.27,27,19,15,14,6,7.4,0.9,1.3,21,"2025-02-07 05:00",,0.3,18,24,1,120.641092,24.151958,31
大里,臺中市,75,細懸浮微粒,普通,1.4,0.29,19,14,17,17,8,9.2,1.4,1.9,0,"2025-02-07 05:00",,0.4,21,24,2,120.67844444,24.09961111,30
沙鹿,臺中市,42,,良好,0.9,0.26,44,38,18,7,4,4.5,0.4,5.2,65,"2025-02-07 05:00",,0.2,10,23,1,120.568794,24.225628,29
豐原,臺中市,68,細懸浮微粒,普通,0.8,0.29,24,24,15,14,5,4.6,0,2,28,"2025-02-07 05:00",,0.3,19,21,1,120.74252414,24.25699731,28
三義,苗栗縣,55,細懸浮微粒,普通,0.4,0.25,25,19,9,8,5,6.3,1,4.6,17,"2025-02-07 05:00",,0.3,14,19,1,120.75956754,24.38248443,27
苗栗,苗栗縣,47,,良好,1.4,0.2,35,27,3,8,6,6.4,0.6,3.6,19,"2025-02-07 05:00",,0.2,12,12,1,120.82011468,24.56499183,26
頭份,苗栗縣,33,,良好,1.5,0.25,42,30,8,5,5,5.8,1.1,2.9,28,"2025-02-07 05:00",,0.3,8,16,1,120.89869286,24.69690679,25
新竹,新竹市,40,,良好,1,0.26,43,33,0,6,4,5.3,0.8,4.4,30,"2025-02-07 05:00",,0.2,10,9,1,120.97236752,24.8056356,24
竹東,新竹縣,44,,良好,0.4,0.24,25,19,7,11,5,5.5,0.2,1.7,322,"2025-02-07 05:00",,0.3,11,14,0,121.08895493,24.74091408,23
湖口,新竹縣,37,,良好,0.6,0.25,45,40,8,2,3,3.3,0.4,4.4,23,"2025-02-07 05:00",,0.2,5,10,0,121.03886894,24.90009696,22
龍潭,桃園市,35,,良好,0.8,0.24,39,33,3,6,5,4.8,0.1,2.1,14,"2025-02-07 05:00",,0.2,9,10,1,121.21645772,24.86400048,21
平鎮,桃園市,32,,良好,0.4,0.29,44,35,4,4,6,6.5,0.3,1.5,55,"2025-02-07 05:00",,0.3,6,9,0,121.203986,24.952786,20
觀音,桃園市,42,,良好,0.8,0.22,47,45,7,3,2,2.5,0.6,5.7,55,"2025-02-07 05:00",,0.2,6,9,0,121.08283092,25.03556747,19
大園,桃園市,41,,良好,0.9,0.25,48,45,8,1,2,3.4,1,7.2,27,"2025-02-07 05:00",,0.2,3,10,1,121.20251473,25.06100357,18
桃園,桃園市,36,,良好,1.2,0.27,42,40,2,3,5,5.1,0.2,2.3,17,"2025-02-07 05:00",,0.2,3,3,1,121.30500531,24.9947107,17
大同,臺北市,29,,良好,0.6,0.34,39,29,5,4,7,8,1.3,-,-,"2025-02-07 05:00",,0.4,7,8,1,121.51342074,25.06331455,16
松山,臺北市,33,,良好,0.8,0.22,45,36,0,1,3,3.7,0.3,1.9,19,"2025-02-07 05:00",,0.2,6,5,1,121.578611,25.05,15
古亭,臺北市,33,,良好,1.1,0.25,45,37,2,3,3,3.9,0.6,1.2,63,"2025-02-07 05:00",,0.2,6,9,1,121.529556,25.020608,14
萬華,臺北市,32,,良好,0.2,0.27,44,35,4,2,5,5.5,0.4,1.9,95,"2025-02-07 05:00",,0.2,4,9,1,121.507972,25.046503,13
中山,臺北市,31,,良好,0.4,0.26,42,34,5,2,6,6.9,0.7,1.9,87,"2025-02-07 05:00",,0.2,7,11,1,121.526528,25.062361,12
士林,臺北市,40,,良好,0.8,0.26,43,44,5,1,3,3.5,0.1,1.5,109,"2025-02-07 05:00",,0.2,4,7,1,121.51666356,25.10334003,11
淡水,新北市,37,,良好,0.2,0.26,46,40,6,6,2,2.2,0.4,3.8,20,"2025-02-07 05:00",,0.2,5,8,1,121.449239,25.1645,10
林口,新北市,40,,良好,0.8,0.25,46,43,2,5,2,3.1,0.8,3.9,46,"2025-02-07 05:00",,0.2,5,5,1,121.36548982,25.07798949,9
菜寮,新北市,33,,良好,0.7,0.28,38,37,2,3,9,9.1,0.5,0.8,124,"2025-02-07 05:00",,0.2,6,7,0,121.481028,25.06895,8
新莊,新北市,34,,良好,0.3,0.24,36,37,0,4,6,6.9,0.4,0.6,75,"2025-02-07 05:00",,0.2,6,4,0,121.4325,25.037972,7
板橋,新北市,35,,良好,0.7,0.28,45,38,0,3,4,4.9,0.8,1.6,59,"2025-02-07 05:00",,0.3,5,6,1,121.458667,25.012972,6
土城,新北市,34,,良好,0.8,0.26,46,38,6,2,4,4.2,0.5,1.6,237,"2025-02-07 05:00",,0.2,5,9,0,121.451861,24.982528,5
新店,新北市,34,,良好,0.4,0.23,44,37,8,2,4,4.5,0.2,1.6,18,"2025-02-07 05:00",,0.2,5,9,0,121.537778,24.977222,4
萬里,新北市,46,,良好,0.6,0.25,51,51,40,2,2,2.7,0.5,8.8,36,"2025-02-07 05:00",,0.2,4,25,1,121.689881,25.179667,3
汐止,新北市,31,,良好,0.9,0.22,45,33,0,5,4,4.5,0.5,2.8,36,"2025-02-07 05:00",,0.2,8,9,0,121.64081,25.06624,2
基隆,基隆市,30,,良好,0.8,0.26,50,32,4,1,2,2.3,0.3,2.2,93,"2025-02-07 05:00",,0.3,5,7,1,121.760056,25.129167,1
屏東(枋山),屏東縣,38,,良好,0.5,0.19,41,41,20,8,6,6.6,0.3,0.2,28,"2025-02-07 04:00",,0.1,6,12,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,32,,良好,0.3,0.19,28,35,8,5,6,6.1,0.2,1.7,316,"2025-02-07 04:00",,0.1,4,8,0,121.61575076,23.97709367,312
新北（樹林）,新北市,20,,良好,0.4,0.2,19,22,8,5,8,8.8,0.3,0,194,"2025-02-07 04:00",,0.2,5,10,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,94,細懸浮微粒,普通,0.1,0.36,11,16,32,24,7,7,0.2,0,41,"2025-02-07 04:00",,0.3,28,34,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,126,細懸浮微粒,對敏感族群不健康,5.2,0.79,10,26,76,50,28,29.1,0.8,3,329,"2025-02-07 04:00",,0.5,40,61,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,73,細懸浮微粒,普通,0.5,0.32,23,29,39,22,10,10.5,0.6,1.8,2,"2025-02-07 04:00",,0.2,20,39,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,102,細懸浮微粒,對敏感族群不健康,1.3,0.33,19,23,60,44,14,14.6,1.1,0.8,301,"2025-02-07 04:00",,0.3,31,50,2,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,35,,良好,0.8,0.19,40,38,9,2,7,7.8,0.7,0.9,51,"2025-02-07 04:00",,0.2,5,11,1,121.82463916,24.85366672,201
員林,彰化縣,73,細懸浮微粒,普通,1.2,0.31,20,26,26,21,11,12.6,1.5,1.8,29,"2025-02-07 04:00",,0.3,20,30,1,120.5631893,23.9615945,139
大城,彰化縣,45,,良好,1,0.22,49,49,11,5,3,3.6,0.8,7.9,38,"2025-02-07 04:00",,0.1,9,18,0,120.26964167,23.85493056,85
富貴角,新北市,49,,良好,0.3,0.23,52,53,17,4,2,1.5,0,10.9,44,"2025-02-07 04:00",,0.2,5,16,0,121.53656894,25.29681695,84
麥寮,雲林縣,42,,良好,1.1,0.23,46,45,20,6,4,3.9,0,6.4,359,"2025-02-07 04:00",,0.2,10,19,2,120.251825,23.753506,83
關山,臺東縣,28,,良好,1,0.2,20,26,12,7,1,2.1,0.7,1.4,353,"2025-02-07 04:00",,0.2,6,17,0,121.161933,23.045083,80
馬公,澎湖縣,44,,良好,1,0.24,49,48,11,8,2,2.9,0.5,6.6,31,"2025-02-07 04:00",,0.2,9,15,1,119.566158,23.569031,78
金門,金門縣,64,細懸浮微粒,普通,1.1,0.29,34,37,12,10,4,4.9,0.7,1.7,31,"2025-02-07 04:00",,0.3,17,20,1,118.312256,24.432133,77
馬祖,連江縣,69,細懸浮微粒,普通,0.9,0.3,41,45,21,19,3,3.9,0.7,2.3,329,"2025-02-07 04:00",,0.3,19,25,0,119.952724,26.153736,75
埔里,南投縣,125,細懸浮微粒,對敏感族群不健康,1.2,0.47,9,15,46,35,7,8.2,1,0.3,203,"2025-02-07 04:00",,0.5,40,53,1,120.967903,23.968842,72
復興,高雄市,109,細懸浮微粒,對敏感族群不健康,1,0.27,23,22,51,39,10,11.1,1,1,105,"2025-02-07 04:00",,0.4,34,47,2,120.312017,22.608711,71
永和,新北市,31,,良好,0.8,0.28,38,35,5,5,8,9.1,1.2,1.7,70,"2025-02-07 04:00",,0.3,7,9,1,121.516306,25.017,70
竹山,南投縣,101,細懸浮微粒,對敏感族群不健康,1,0.38,10,14,36,30,14,14.7,0.6,1,70,"2025-02-07 04:00",,0.4,31,43,1,120.677306,23.756389,69
中壢,桃園市,33,,良好,0.6,0.28,35,29,7,7,9,10.3,1.4,0.9,320,"2025-02-07 04:00",,0.5,8,12,1,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,0.6,0.43,22,17,6,5,24,40.6,16.5,-,-,"2025-02-07 04:00",,0.6,8,11,1,121.493806,25.072611,67
冬山,宜蘭縣,23,,良好,0.6,0.18,19,24,5,4,3,3.5,0.8,1.3,280,"2025-02-07 04:00",,0.1,6,6,0,121.792928,24.632203,66
宜蘭,宜蘭縣,27,,良好,0.9,0.18,32,30,3,3,1,1.8,0.3,0.3,248,"2025-02-07 04:00",,0.2,4,4,0,121.746394,24.747917,65
陽明,臺北市,46,,良好,0.8,0.27,49,51,2,0,1,1.6,0.2,2.1,60,"2025-02-07 04:00",,0.2,0,4,1,121.529583,25.182722,64
花蓮,花蓮縣,24,,良好,0.3,0.29,14,22,8,4,11,11.7,1,0.7,246,"2025-02-07 04:00",,0.3,4,9,0,121.599769,23.971306,63
